group,method,method_label,selector,coverage,conditions,mean_full_accuracy,std_full_accuracy,mean_selective_accuracy,std_selective_accuracy,mean_selective_risk,mean_accuracy_lift,mean_full_accuracy_percent,mean_selective_accuracy_percent,mean_selective_risk_percent,mean_accuracy_lift_percent
all_corruptions,litemsa,LiteMSA,soft_reliability,0.5,750,0.5170018832391714,0.31080401817343106,0.5918801498127341,0.3412580775316964,0.40811985018726593,0.0748782665735627,51.70018832391714,59.188014981273405,40.811985018726595,7.48782665735627
all_corruptions,litemsa,LiteMSA,soft_reliability,0.6,750,0.5170018832391714,0.31080401817343106,0.5791651090342678,0.3366390638502497,0.4208348909657321,0.06216322579509652,51.70018832391714,57.916510903426776,42.08348909657321,6.216322579509652
all_corruptions,litemsa,LiteMSA,soft_reliability,0.8,750,0.5170018832391714,0.31080401817343106,0.552037558685446,0.3269638709641066,0.44796244131455404,0.03503567544627463,51.70018832391714,55.203755868544604,44.7962441314554,3.503567544627463
all_corruptions,litemsa,LiteMSA,soft_reliability,1.0,750,0.5170018832391714,0.31080401817343106,0.5170018832391714,0.31080401817343106,0.4829981167608286,0.0,51.70018832391714,51.70018832391714,48.29981167608286,0.0
all_corruptions,litemsa_da_augmix_corruption,LiteMSA + AugMix-like DA,soft_reliability,0.5,750,0.8194726930320151,0.08666617058340666,0.8890337078651686,0.06477825308029353,0.11096629213483149,0.06956101483315347,81.94726930320151,88.90337078651686,11.09662921348315,6.956101483315347
all_corruptions,litemsa_da_augmix_corruption,LiteMSA + AugMix-like DA,soft_reliability,0.6,750,0.8194726930320151,0.08666617058340666,0.8778068535825544,0.06845432874027031,0.1221931464174455,0.05833416055053944,81.94726930320151,87.78068535825544,12.21931464174455,5.833416055053944
all_corruptions,litemsa_da_augmix_corruption,LiteMSA + AugMix-like DA,soft_reliability,0.8,750,0.8194726930320151,0.08666617058340666,0.8532863849765259,0.07671633294602377,0.1467136150234742,0.033813691944510754,81.94726930320151,85.32863849765259,14.671361502347418,3.3813691944510755
all_corruptions,litemsa_da_augmix_corruption,LiteMSA + AugMix-like DA,soft_reliability,1.0,750,0.8194726930320151,0.08666617058340666,0.8194726930320151,0.08666617058340666,0.18052730696798494,0.0,81.94726930320151,81.94726930320151,18.052730696798495,0.0
all_corruptions,litemsa_domain_aug,LiteMSA + DA,soft_reliability,0.5,750,0.8148700564971751,0.08213245476325538,0.8922097378277154,0.058192833081256334,0.10779026217228466,0.0773396813305402,81.48700564971752,89.22097378277154,10.779026217228466,7.73396813305402
all_corruptions,litemsa_domain_aug,LiteMSA + DA,soft_reliability,0.6,750,0.8148700564971751,0.08213245476325538,0.8817320872274144,0.06231340883589823,0.11826791277258568,0.06686203073023918,81.48700564971752,88.17320872274144,11.826791277258568,6.6862030730239175
all_corruptions,litemsa_domain_aug,LiteMSA + DA,soft_reliability,0.8,750,0.8148700564971751,0.08213245476325538,0.8545070422535213,0.07035306564310997,0.14549295774647888,0.039636985756345985,81.48700564971752,85.45070422535213,14.549295774647888,3.9636985756345986
all_corruptions,litemsa_domain_aug,LiteMSA + DA,soft_reliability,1.0,750,0.8148700564971751,0.08213245476325538,0.8148700564971751,0.08213245476325538,0.18512994350282486,0.0,81.48700564971752,81.48700564971752,18.512994350282487,0.0
